observation_date,W790RC1Q027SBEA
1960-01-01,29.189
1960-04-01,21.476
1960-07-01,21.359
1960-10-01,10.833
1961-01-01,13.205
1961-04-01,18.575
1961-07-01,24.059
1961-10-01,25.017
1962-01-01,29.382
1962-04-01,26.950
1962-07-01,28.104
1962-10-01,24.701
1963-01-01,28.296
1963-04-01,28.208
1963-07-01,30.458
1963-10-01,31.511
1964-01-01,32.909
1964-04-01,33.100
1964-07-01,34.588
1964-10-01,35.757
1965-01-01,45.789
1965-04-01,44.733
1965-07-01,47.505
1965-10-01,48.546
1966-01-01,57.435
1966-04-01,56.647
1966-07-01,56.044
1966-10-01,59.421
1967-01-01,55.581
1967-04-01,46.158
1967-07-01,48.685
1967-10-01,50.113
1968-01-01,52.901
1968-04-01,57.434
1968-07-01,52.149
1968-10-01,53.900
1969-01-01,62.023
1969-04-01,60.461
1969-07-01,63.524
1969-10-01,57.540
1970-01-01,52.328
1970-04-01,54.566
1970-07-01,54.194
1970-10-01,41.976
1971-01-01,59.794
1971-04-01,61.119
1971-07-01,61.097
1971-10-01,52.963
1972-01-01,61.689
1972-04-01,72.023
1972-07-01,74.715
1972-10-01,74.763
1973-01-01,83.380
1973-04-01,95.084
1973-07-01,87.905
1973-10-01,101.949
1974-01-01,87.435
1974-04-01,91.930
1974-07-01,79.265
1974-10-01,88.160
1975-01-01,45.359
1975-04-01,35.682
1975-07-01,48.196
1975-10-01,51.534
1976-01-01,70.803
1976-04-01,81.270
1976-07-01,82.952
1976-10-01,77.261
1977-01-01,89.380
1977-04-01,101.189
1977-07-01,117.169
1977-10-01,117.846
1978-01-01,121.160
1978-04-01,142.251
1978-07-01,153.690
1978-10-01,168.161
1979-01-01,172.541
1979-04-01,177.435
1979-07-01,173.261
1979-10-01,168.481
1980-01-01,170.983
1980-04-01,144.773
1980-07-01,105.604
1980-10-01,140.410
1981-01-01,198.389
1981-04-01,179.808
1981-07-01,217.837
1981-10-01,205.590
1982-01-01,142.771
1982-04-01,140.614
1982-07-01,132.665
1982-10-01,76.973
1983-01-01,74.326
1983-04-01,106.049
1983-07-01,127.123
1983-10-01,180.721
1984-01-01,242.442
1984-04-01,260.288
1984-07-01,274.319
1984-10-01,259.144
1985-01-01,229.572
1985-04-01,238.092
1985-07-01,222.408
1985-10-01,246.434
1986-01-01,234.016
1986-04-01,206.406
1986-07-01,174.185
1986-10-01,169.120
1987-01-01,188.731
1987-04-01,180.061
1987-07-01,171.298
1987-10-01,228.513
1988-01-01,180.274
1988-04-01,192.483
1988-07-01,189.655
1988-10-01,197.916
1989-01-01,231.679
1989-04-01,223.233
1989-07-01,209.461
1989-10-01,205.113
1990-01-01,207.794
1990-04-01,210.835
1990-07-01,197.394
1990-10-01,146.118
1991-01-01,123.462
1991-04-01,110.971
1991-07-01,117.882
1991-10-01,140.299
1992-01-01,103.688
1992-04-01,145.171
1992-07-01,149.841
